Folder Name,Place Name,Confidence Score,Biblical References URLs,Biblical References,Coordinates,US Matching Cities,US Matching States,Place Type,Confidence Numeric
"Mount Gilead (Mount of Gilead, Gilead)",Mount Gilead,Most Likely,https://www.biblegateway.com/passage/?search=Judg.7.3&amp;version=ESV,Judges 7:3,"35.414444,32.433889","Mount Gilead (Ohio) - village: 40.5492265,-82.8274015; Mount Gilead (North Carolina) - town: 35.2148671,-80.0022784; Mount Gilead (Tennessee) - hamlet: 35.7659001,-88.5397745; Mount Gilead (Ohio) - hamlet: 41.1808873,-83.2374215; Mount Gilead (Kentucky) - hamlet: 37.1731177,-85.38413; Mount Gilead (Kentucky) - hamlet: 38.5109098,-83.7029738; Mount Gilead (Alabama) - hamlet: 32.089877,-85.2382697; Mount Gilead (North Carolina) - hamlet: 36.2681793,-81.9090046",Alabama; Kentucky; North Carolina; Ohio; Tennessee,hamlet; town; village,100
Mount Hermon (Hermon),Mount Hermon,Most Likely,https://www.biblegateway.com/passage/?search=Song.4.8&amp;version=ESV,Song of Songs 4:8,"35.85,33.4","Mount Hermon (Virginia) - village: 36.673240500000006,-79.41641965477027; Mount Hermon (Virginia) - village: 36.6782168,-79.4215317; Mount Hermon (Kentucky) - hamlet: 36.806721,-85.8208087; Mount Hermon (Maryland) - hamlet: 38.3540066,-75.5293666; Mount Hermon (Louisiana) - hamlet: 30.9601803,-90.295925",Kentucky; Louisiana; Maryland; Virginia,hamlet; village,100
"Mount Horeb (Horeb, Mount Sinai)",Mount Horeb,Most Likely,https://www.biblegateway.com/passage/?search=Ps.106.19&amp;version=ESV,Psalms 106:19,"33.973333,28.539722","Mount Horeb (Wisconsin) - town: 43.0086183,-89.7384557; Mount Horeb (Tennessee) - hamlet: 36.0912014,-83.4401709; Mount Horeb (Mississippi) - hamlet: 31.5835002,-89.570347",Mississippi; Tennessee; Wisconsin,hamlet; town,100
Judg,Mount Lebanon,Most Likely,,,"35.626791,33.413941 35.675009,33.555459 35.73468,33.680438 35.802874,33.761068 35.858565,33.871863 35.974403,34.019918 36.076651,34.18686 36.355757,34.508675 36.253724,34.592514 36.047991,34.449198 35.841928,34.233405 35.753585,34.185497 35.665844,33.951621 35.519543,33.779392 35.487401,33.703612 35.482028,33.564034 35.516877,33.424567 35.553293,33.354297 35.626791,33.413941","Mount Lebanon (Pennsylvania) - town: 40.3809799,-80.0440671; Mount Lebanon (Louisiana) - town: 32.5037644,-93.0490508; Mount Lebanon (Alabama) - hamlet: 34.8645333,-86.6072166; Mount Lebanon (Kentucky) - hamlet: 37.8267459,-84.5043822; Mount Lebanon (Tennessee) - hamlet: 35.2464686,-87.4661297; Mount Lebanon (Tennessee) - hamlet: 36.1475584,-87.3563993; Mount Lebanon (Tennessee) - hamlet: 35.5753484,-88.0503097; Mount Lebanon (Tennessee) - hamlet: 35.6070245,-89.7073019",Alabama; Kentucky; Louisiana; Pennsylvania; Tennessee,hamlet; town,100
Mount Lebanon (Lebanon),Mount Lebanon,Most Likely,https://www.biblegateway.com/passage/?search=Judg.3.3&amp;version=ESV,Judges 3:3,"35.626791,33.413941 35.675009,33.555459 35.73468,33.680438 35.802874,33.761068 35.858565,33.871863 35.974403,34.019918 36.076651,34.18686 36.355757,34.508675 36.253724,34.592514 36.047991,34.449198 35.841928,34.233405 35.753585,34.185497 35.665844,33.951621 35.519543,33.779392 35.487401,33.703612 35.482028,33.564034 35.516877,33.424567 35.553293,33.354297 35.626791,33.413941","Mount Lebanon (Pennsylvania) - town: 40.3809799,-80.0440671; Mount Lebanon (Louisiana) - town: 32.5037644,-93.0490508; Mount Lebanon (Alabama) - hamlet: 34.8645333,-86.6072166; Mount Lebanon (Tennessee) - hamlet: 35.6070245,-89.7073019; Mount Lebanon (Kentucky) - hamlet: 37.8267459,-84.5043822; Mount Lebanon (Tennessee) - hamlet: 36.1475584,-87.3563993; Mount Lebanon (Tennessee) - hamlet: 35.5753484,-88.0503097; Mount Lebanon (Tennessee) - hamlet: 35.2464686,-87.4661297",Alabama; Kentucky; Louisiana; Pennsylvania; Tennessee,hamlet; town,100
Mount Moriah (Moriah),Mount Moriah,Most Likely,https://www.biblegateway.com/passage/?search=2Chr.3.1&amp;version=ESV,II Chronicles 3:1,"35.235556,31.777778","Mount Moriah (Missouri) - village: 40.3297282,-93.7946698; Mount Moriah (West Virginia) - hamlet: 38.7864737,-81.7656869; Mount Moriah (Mississippi) - hamlet: 34.971479,-88.9403382; Mount Moriah (Tennessee) - hamlet: 35.3323052,-89.2178453; Mount Moriah (Louisiana) - hamlet: 32.2868202,-92.4134769; Mount Moriah (Arkansas) - hamlet: 33.6387265,-93.3143366; Mount Moriah (Arkansas) - hamlet: 34.3950931,-93.3537963; Mount Moriah (Arkansas) - hamlet: 34.1089964,-93.6910173; Mount Moriah (Alabama) - hamlet: 33.4223337,-85.6607918; Mount Moriah (Alabama) - hamlet: 34.5442602,-87.3244654; Mount Moriah (Alabama) - hamlet: 31.9176496,-86.8999815; Mount Moriah (Maryland) - hamlet: 39.5370425,-77.7847164; Mount Moriah (Tennessee) - hamlet: 35.9622836,-88.045035; Mount Moriah (Tennessee) - hamlet: 36.3039561,-89.2331248",Alabama; Arkansas; Louisiana; Maryland; Mississippi; Missouri; Tennessee; West Virginia,hamlet; village,100
2Chr,Mount Moriah,Most Likely,,,"35.235556,31.777778","Mount Moriah (Missouri) - village: 40.3297282,-93.7946698; Mount Moriah (West Virginia) - hamlet: 38.7864737,-81.7656869; Mount Moriah (Tennessee) - hamlet: 36.3039561,-89.2331248; Mount Moriah (Louisiana) - hamlet: 32.2868202,-92.4134769; Mount Moriah (Tennessee) - hamlet: 35.3323052,-89.2178453; Mount Moriah (Mississippi) - hamlet: 34.971479,-88.9403382; Mount Moriah (Arkansas) - hamlet: 34.3950931,-93.3537963; Mount Moriah (Alabama) - hamlet: 33.4223337,-85.6607918; Mount Moriah (Alabama) - hamlet: 34.5442602,-87.3244654; Mount Moriah (Maryland) - hamlet: 39.5370425,-77.7847164; Mount Moriah (Alabama) - hamlet: 31.9176496,-86.8999815; Mount Moriah (Arkansas) - hamlet: 34.1089964,-93.6910173; Mount Moriah (Tennessee) - hamlet: 35.9622836,-88.045035; Mount Moriah (Arkansas) - hamlet: 33.6387265,-93.3143366",Alabama; Arkansas; Louisiana; Maryland; Mississippi; Missouri; Tennessee; West Virginia,hamlet; village,100
Mount Nebo (Nebo),Mount Nebo,Most Likely,https://www.biblegateway.com/passage/?search=Deut.32.49&amp;version=ESV; https://www.biblegateway.com/passage/?search=Deut.34.1&amp;version=ESV,"Deuteronomy 32:49, Deuteronomy 34:1","35.75,31.766667","Mount Nebo (Pennsylvania) - village: 40.5528457,-80.1050572; Mount Nebo (West Virginia) - hamlet: 39.6023047,-79.7078303; Mount Nebo (West Virginia) - hamlet: 38.2001112,-80.8512079; Mount Nebo (Tennessee) - hamlet: 35.6500713,-87.1655638; Mount Nebo (Tennessee) - hamlet: 35.0575819,-87.5372453; Mount Nebo (Mississippi) - hamlet: 32.7029127,-88.7069913; Mount Nebo (Arkansas) - hamlet: 35.2189749,-93.2524002; Mount Nebo (Alabama) - hamlet: 32.2898616,-87.0524889",Alabama; Arkansas; Mississippi; Pennsylvania; Tennessee; West Virginia,hamlet; village,100
Mount Sinai (Sinai),Mount Sinai,Most Likely,https://www.biblegateway.com/passage/?search=Ps.68.8&amp;version=ESV; https://www.biblegateway.com/passage/?search=Ps.68.17&amp;version=ESV,"Psalms 68:8, Psalms 68:17","33.973333,28.539722","Mount Sinai (New York) - town: 40.9470432,-73.0295495; Mount Sinai (Indiana) - hamlet: 39.080612,-84.9985654; Mount Sinai (Alabama) - hamlet: 32.2940289,-86.4683063; Mount Sinai (Alabama) - hamlet: 32.5493001,-86.5449775; Mount Sinai (North Carolina) - hamlet: 35.2009607,-81.600094; Mount Sinai (Ohio) - hamlet: 39.1425692,-82.7985049",Alabama; Indiana; New York; North Carolina; Ohio,hamlet; town,100
Mount Tabor (Tabor),Mount Tabor,Most Likely,https://www.biblegateway.com/passage/?search=Ps.89.12&amp;version=ESV,Psalms 89:12,"35.392917,32.68625","Mount Tabor (Vermont) - village: 43.3507073,-72.9820478; Mount Tabor (Indiana) - hamlet: 39.3114349,-86.6333347; Mount Tabor (Ohio) - hamlet: 40.5200642,-81.3731677; Mount Tabor (Tennessee) - hamlet: 35.7656375,-84.0218507; Mount Tabor (West Virginia) - hamlet: 37.798447,-81.2326021; Mount Tabor (Wisconsin) - hamlet: 43.700527,-90.4542969; Mount Tabor (West Virginia) - hamlet: 39.4167529,-80.4314793; Mount Tabor (Tennessee) - hamlet: 35.623125,-88.1164239; Mount Tabor (Alabama) - hamlet: 34.4406501,-86.8666703; Mount Tabor (Kentucky) - hamlet: 36.9586542,-87.2191666; Mount Tabor (Tennessee) - hamlet: 35.7592346,-86.3361038; Mount Tabor (Arkansas) - hamlet: 34.7075935,-93.3379661; Mount Tabor (South Carolina) - hamlet: 33.6179465,-79.1947676; Mount Tabor (North Carolina) - hamlet: 35.8701637,-76.4418792",Alabama; Arkansas; Indiana; Kentucky; North Carolina; Ohio; South Carolina; Tennessee; Vermont; West Virginia; Wisconsin,hamlet; village,100
Tema,Tema,Most Likely,https://www.biblegateway.com/passage/?search=Job.6.19&amp;version=ESV,Job 6:19,"38.551626,27.629703","Mount Tema (Tennessee) - hamlet: 35.5264616,-86.9097248",Tennessee,hamlet,100
Mount Zion (Zion),Mount Zion,Most Likely,https://www.biblegateway.com/passage/?search=Rev.14.1&amp;version=ESV,Rev:14:1,"35.228611,31.771667","Mount Zion (Georgia) - village: 33.6342754,-85.1871703; Mount Zion (Illinois) - village: 39.7714252,-88.8742406; Mount Zion (Indiana) - hamlet: 40.650323,-85.3346944; Mount Zion (Indiana) - hamlet: 41.0142092,-86.1491642; Mount Zion (West Virginia) - village: 38.8623099,-81.1228911; Mount Zion (Maryland) - hamlet: 39.1848258,-77.1009201; Mount Zion (Alabama) - hamlet: 33.1356759,-85.418561; Mount Zion (Wisconsin) - hamlet: 43.2566479,-90.7337382; Mount Zion (Mississippi) - hamlet: 31.6454413,-89.2478373; Mount Zion (Arkansas) - hamlet: 35.5603601,-93.4499056; Mount Zion (Tennessee) - hamlet: 35.8078486,-84.836335; Mount Zion (Texas) - hamlet: 30.4940915,-95.432164; Mount Zion (Arkansas) - hamlet: 35.7289661,-91.4251328; Mount Zion (Iowa) - hamlet: 40.7868378,-91.9327029; Mount Zion (Missouri) - hamlet: 37.0133865,-92.6610014; Mount Zion (Arkansas) - hamlet: 34.0267667,-92.1120874; Mount Zion (Tennessee) - hamlet: 35.5250792,-84.1935252; Mount Zion (North Carolina) - hamlet: 35.9159706,-80.3914435; Mount Zion (Kentucky) - hamlet: 38.0309121,-84.0960372; Mount Zion (Oklahoma) - hamlet: 33.9392743,-95.0346697; Mount Zion (Kentucky) - hamlet: 37.1839585,-84.6763701; Mount Zion (Kentucky) - hamlet: 38.7408995,-84.6596666; Mount Zion (Tennessee) - hamlet: 36.3294979,-87.3747316; Mount Zion (Tennessee) - hamlet: 35.1486919,-87.4791871",Alabama; Arkansas; Georgia; Illinois; Indiana; Iowa; Kentucky; Maryland; Mississippi; Missouri; North Carolina; Oklahoma; Tennessee; Texas; West Virginia; Wisconsin,hamlet; village,100
Myra,Myra,Most Likely,https://www.biblegateway.com/passage/?search=Acts.27.5&amp;version=ESV,Acts:27:5,"29.985278,36.259167","Myra (Kentucky) - hamlet: 37.2898274,-82.5998771; Myra (West Virginia) - hamlet: 38.2214808,-82.1126373; Myra (Wisconsin) - hamlet: 43.4158339,-88.0956485; Myra (Texas) - village: 33.6251401,-97.3159645; Myra (North Dakota) - hamlet: 46.8535856,-97.3200907",Kentucky; North Dakota; Texas; West Virginia; Wisconsin,hamlet; village,100
Nahor,Nahor,Most Likely,https://www.biblegateway.com/passage/?search=Gen.24.10&amp;version=ESV,Genesis 24:10,"39.03278,38.39329 38.82893,38.38474 38.62745,38.3592 38.43069,38.31696 38.24092,38.25851 38.06033,38.18453 37.89096,38.09588 37.73473,37.99358 37.59337,37.87881 37.46843,37.75288 37.36122,37.61721 37.27288,37.47335 37.20426,37.32291 37.15603,37.16758 37.12859,37.00908 37.12211,36.84915 37.13654,36.68956 37.17158,36.53204 37.22673,36.37831 37.30128,36.23001 37.39433,36.08873 37.50479,35.95599 37.6314,35.83318 37.77277,35.7216 37.92734,35.62243 38.09346,35.53671 38.26936,35.46532 38.45318,35.40901 38.64302,35.36837 38.83688,35.34381 39.03278,35.3356 39.22867,35.34381 39.42254,35.36837 39.61237,35.40901 39.7962,35.46532 39.9721,35.53671 40.13822,35.62243 40.29279,35.7216 40.43416,35.83318 40.56077,35.95599 40.67123,36.08873 40.76428,36.23001 40.83883,36.37831 40.89398,36.53204 40.92902,36.68956 40.94344,36.84915 40.93696,37.00908 40.90952,37.16758 40.86129,37.32291 40.79268,37.47335 40.70433,37.61721 40.59713,37.75288 40.47218,37.87881 40.33082,37.99358 40.17459,38.09588 40.00523,38.18453 39.82463,38.25851 39.63486,38.31696 39.4381,38.3592 39.23663,38.38474 39.03278,38.39329","Nahor (Virginia) - hamlet: 37.9087522,-78.3480623",Virginia,hamlet,100
Nain,Nain,Most Likely,https://www.biblegateway.com/passage/?search=Luke.7.11&amp;version=ESV,Luke:7:11,"35.350139,32.630694","Nain (Virginia) - hamlet: 39.2392696,-78.199724",Virginia,hamlet,100
Nazareth,Nazareth,Most Likely,https://www.biblegateway.com/passage/?search=Matt.2.23&amp;version=ESV; https://www.biblegateway.com/passage/?search=Matt.4.13&amp;version=ESV; https://www.biblegateway.com/passage/?search=Matt.13.54&amp;version=NLT; https://www.biblegateway.com/passage/?search=Matt.21.11&amp;version=ESV; https://www.biblegateway.com/passage/?search=Matt.26.71&amp;version=ESV,"Matt:2:23, Matt:4:13, Matt:13:54, Matt:21:11, Matt:26:71","35.29769,32.70214","Nazareth (Texas) - city: 34.5442338,-102.102688; Nazareth (Pennsylvania) - town: 40.7423309,-75.3112095; Nazareth (Kentucky) - hamlet: 37.8481165,-85.4727346",Kentucky; Pennsylvania; Texas,city; hamlet; town,100
Neah,Neah,Most Likely,https://www.biblegateway.com/passage/?search=Josh.19.13&amp;version=ESV; https://www.biblegateway.com/passage/?search=Josh.19.14&amp;version=CSB,"Joshua 19:13, Joshua 19:14","35.423456,32.804203","Neah Bay (Washington) - town: 48.365339,-124.615534",Washington,town,100
Neapolis,Neapolis,Most Likely,https://www.biblegateway.com/passage/?search=Acts.16.11&amp;version=ESV,Acts:16:11,"24.415,40.935","Neapolis (Ohio) - hamlet: 41.4918257,-83.8708675",Ohio,hamlet,100
Nebo 1,Nebo,Most Likely,https://www.biblegateway.com/passage/?search=Num.32.3&amp;version=ESV; https://www.biblegateway.com/passage/?search=Num.32.38&amp;version=ESV; https://www.biblegateway.com/passage/?search=Num.33.47&amp;version=ESV,"Numbers 32:3, Numbers 32:38, Numbers 33:47","35.74386,31.749127","Nebo (Kentucky) - city: 37.383656,-87.6427843; Nebo (West Virginia) - hamlet: 38.9884344,-80.0845239; Nebo (West Virginia) - hamlet: 38.6345403,-81.0426091; Nebo (Missouri) - hamlet: 37.571155,-92.3351658; Nebo (Virginia) - hamlet: 36.941783,-81.441777; Nebo (Illinois) - village: 39.4426307,-90.7905862; Nebo (Arkansas) - hamlet: 34.0028783,-91.8142993; Nebo (North Carolina) - hamlet: 36.2170813,-80.6545077; Nebo (Kentucky) - hamlet: 37.2417095,-87.1941628; Nebo (Alabama) - hamlet: 34.5550886,-86.3374851; Nebo (North Carolina) - hamlet: 35.7150585,-81.9305965; Nebo (Louisiana) - hamlet: 31.5887854,-92.1417992; Nebo (Oklahoma) - hamlet: 34.3614807,-96.9527908",Alabama; Arkansas; Illinois; Kentucky; Louisiana; Missouri; North Carolina; Oklahoma; Virginia; West Virginia,city; hamlet; village,100
"Nile (River, Sihor)",Nile,Most Likely,https://www.biblegateway.com/passage/?search=Zech.10.11&amp;version=ESV,Zechariah 10:11,"32.50641,15.64124 32.56511,16.15133 32.71356,16.38777 32.95192,16.55592 33.11583,16.52307 33.64297,16.83735 33.72145,16.98361 33.73357,17.29374 33.87965,17.42427 33.97344,17.6496 33.98393,18.00857 33.93325,18.25404 33.80148,18.31479 33.67353,18.49584 33.68565,18.69568 33.56111,18.73881 33.58701,19.1089 33.41389,19.27437 33.3283,19.52937 32.88425,19.45702 32.38153,18.92093 32.04448,18.82381 32.03232,18.61076 31.86211,18.55957 31.52533,18.08251 31.21433,17.98326 30.76226,18.15564 30.69645,18.48917 30.57768,18.59205 30.47161,18.87864 30.4935,19.24645 30.29591,19.93647 30.548,19.94806 30.58044,20.29215 30.38709,20.34491 30.34188,20.42713 30.28905,20.58492 30.32506,20.79066 30.53899,20.8389 30.58358,21.01854 30.69735,21.07635 30.65834,21.18687 30.98839,21.40132 30.95816,21.48728 31.17366,21.66365 31.43225,22.17585 32.1137,22.73589 32.20964,22.74464 32.29427,22.6215 32.38727,22.62304 32.94577,23.31672 32.87144,23.59294 32.92323,24.44909 32.86968,24.48453 32.93186,24.67286 32.88824,24.98288 32.56526,25.27726 32.46825,25.56172 32.76754,25.79133 32.76073,26.10578 32.63342,26.17901 32.27785,26.02442 32.12248,26.20443 32.02343,26.17474 31.99592,26.28987 31.80991,26.44018 31.80737,26.55024 31.70632,26.5437 31.70808,26.63279 31.52426,26.78297 31.30078,27.15568 31.12483,27.20777 30.84795,27.45684 30.89596,27.78379 30.82839,27.82289 30.86746,27.96484 30.74305,28.14557 30.73948,28.30098 30.84407,28.44511 30.92729,28.87826 31.22548,29.24542 31.29308,29.84911 31.21135,30.12366 30.82031,30.33869 30.8769,30.37565 30.76263,30.71801 30.81216,30.81963 30.76271,30.82173 30.76053,30.99229 30.52221,31.19948 30.51972,31.32732 30.37128,31.45895","Nile (Washington) - hamlet: 46.836279,-120.94459953999998; Nile (Mississippi) - hamlet: 32.9459648,-89.5167399; Nile (West Virginia) - hamlet: 38.3045547,-80.7350951; Nile (Washington) - hamlet: 46.8273712,-120.9355738; Nile (Missouri) - hamlet: 37.360046,-91.66598",Mississippi; Missouri; Washington; West Virginia,hamlet,100
Nimrod,Nimrod,Most Likely,https://www.biblegateway.com/passage/?search=Mic.5.6&amp;version=ESV,Micah 5:6,"43.1528,36.3594","Nimrod (Minnesota) - hamlet: 46.638849,-94.8808507; Nimrod (Oregon) - hamlet: 44.1137371,-122.4236726; Nimrod (Arkansas) - hamlet: 34.9592568,-93.0765648; Nimrod (Montana) - hamlet: 46.7002062,-113.4773058; Nimrod (Texas) - hamlet: 32.2723557,-99.0525667; Nimrod (Montana) - hamlet: 48.2388497,-113.5684347",Arkansas; Minnesota; Montana; Oregon; Texas,hamlet,100
Nineveh,Nineveh,Most Likely,https://www.biblegateway.com/passage/?search=Zeph.2.13&amp;version=ESV,Zephaniah 2:13,"43.1528,36.3594","Nineveh (Indiana) - village: 39.3622722,-86.0847136; Nineveh (New York) - hamlet: 42.1942461,-75.6024071; Nineveh (Virginia) - hamlet: 39.0159413,-78.1649998; Nineveh (Missouri) - hamlet: 40.2741949,-92.6946418; Nineveh (Texas) - hamlet: 31.383512,-95.8060669; Nineveh (Ohio) - hamlet: 40.0489387,-84.5452306",Indiana; Missouri; New York; Ohio; Texas; Virginia,hamlet; village,100
North,North,Most Likely,https://www.biblegateway.com/passage/?search=Dan.11.6&amp;version=NIV; https://www.biblegateway.com/passage/?search=Dan.11.7&amp;version=NIV; https://www.biblegateway.com/passage/?search=Dan.11.8&amp;version=NIV; https://www.biblegateway.com/passage/?search=Dan.11.9&amp;version=NIV; https://www.biblegateway.com/passage/?search=Dan.11.11&amp;version=NIV; https://www.biblegateway.com/passage/?search=Dan.11.13&amp;version=NIV; https://www.biblegateway.com/passage/?search=Dan.11.15&amp;version=NIV; https://www.biblegateway.com/passage/?search=Dan.11.16&amp;version=CSB; https://www.biblegateway.com/passage/?search=Dan.11.28&amp;version=NIV; https://www.biblegateway.com/passage/?search=Dan.11.40&amp;version=NIV,"Daniel 11:6, Daniel 11:7, Daniel 11:8, Daniel 11:9, Daniel 11:11, Daniel 11:13, Daniel 11:15, Daniel 11:16, Daniel 11:28, Daniel 11:40","35.964285,34.566208 36.046029,33.531163 36.52442,33.365119 38.525359,35.919737 37.070872,38.224429 34.95569,38.268119 33.134238,36.026653 34.034234,36.192163 34.751523,36.73176 35.450494,36.441791 36.01031,36.752089 35.640034,36.327562 35.661701,35.587387 35.964285,34.566208","North (South Carolina) - town: 33.6157083,-81.1020414",South Carolina,town,100
North Gate,North Gate,Most Likely,https://www.biblegateway.com/passage/?search=1Chr.26.14&amp;version=NIV,I Chronicles 26:14,"35.234167,31.776667","North Gate (California) - village: 37.9066672,-121.997294; North Gate (Maryland) - hamlet: 39.600112,-75.8021591; North Gate (Indiana) - hamlet: 39.2639402,-85.9463833",California; Indiana; Maryland,hamlet; village,100
Hara,Hara,Most Likely,https://www.biblegateway.com/passage/?search=1Chr.5.26&amp;version=ESV,I Chronicles 5:26,"40.03967,37.27645 39.9806,37.27397 39.9222,37.26656 39.8651,37.25431 39.80995,37.23735 39.75735,37.21587 39.7079,37.19011 39.66213,37.16035 39.62055,37.12693 39.58362,37.09022 39.55174,37.05062 39.52525,37.00857 39.50444,36.96454 39.48952,36.91901 39.48065,36.87248 39.47792,36.82546 39.48134,36.77848 39.49086,36.73203 39.50638,36.68664 39.52771,36.64279 39.5546,36.60097 39.58676,36.56162 39.62384,36.52518 39.66541,36.49203 39.71104,36.46255 39.76021,36.43704 39.8124,36.41578 39.86704,36.39901 39.92354,36.38689 39.98129,36.37957 40.03967,36.37712 40.09805,36.37957 40.1558,36.38689 40.2123,36.39901 40.26694,36.41578 40.31913,36.43704 40.3683,36.46255 40.41393,36.49203 40.4555,36.52518 40.49258,36.56162 40.52474,36.60097 40.55163,36.64279 40.57296,36.68664 40.58848,36.73203 40.598,36.77848 40.60142,36.82546 40.59869,36.87248 40.58982,36.91901 40.5749,36.96454 40.55409,37.00857 40.5276,37.05062 40.49572,37.09022 40.45879,37.12693 40.41721,37.16035 40.37144,37.19011 40.32199,37.21587 40.26939,37.23735 40.21424,37.25431 40.15714,37.26656 40.09874,37.27397 40.03967,37.27645","O'Hara Township (Pennsylvania) - town: 40.5133016,-79.9248783",Pennsylvania,town,100
Ono,Ono,Most Likely,https://www.biblegateway.com/passage/?search=Neh.6.2&amp;version=ESV; https://www.biblegateway.com/passage/?search=Neh.7.37&amp;version=ESV; https://www.biblegateway.com/passage/?search=Neh.11.35&amp;version=ESV,"Nehemiah 6:2, Nehemiah 7:37, Nehemiah 11:35","34.868056,32.027222","Ono (California) - hamlet: 40.4751501,-122.61807; Ono (Kentucky) - hamlet: 36.988681,-84.9666179; Ono (Wisconsin) - hamlet: 44.6556208,-92.2562531",California; Kentucky; Wisconsin,hamlet,100
Ophir,Ophir,Most Likely,https://www.biblegateway.com/passage/?search=1Chr.29.4&amp;version=ESV,I Chronicles 29:4,"42.5,18.216667","Ophir (Colorado) - village: 37.8569392,-107.832564; Ophir (Utah) - hamlet: 40.36784,-112.26023566059109; Ophir (California) - hamlet: 38.8910099,-121.1235582; Ophir (Alaska) - hamlet: 63.1447028,-156.520174; Ophir (Kentucky) - hamlet: 37.9073118,-83.0143346; Ophir (Arkansas) - hamlet: 34.4403757,-93.6113013; Ophir (Washington) - hamlet: 48.2090374,-119.7178377; Ophir (North Carolina) - hamlet: 35.4779167,-79.9789351; Ophir (Alabama) - hamlet: 34.3600906,-85.9455286; Ophir (Utah) - hamlet: 40.3695683,-112.2553198; Ophir (Georgia) - hamlet: 34.3295381,-84.2649204",Alabama; Alaska; Arkansas; California; Colorado; Georgia; Kentucky; North Carolina; Utah; Washington,hamlet; village,100
Ophir,Ophir,Most Likely,https://www.biblegateway.com/passage/?search=Ps.45.9&amp;version=ESV,Psalms 45:9,"42.5,18.216667","Ophir (Colorado) - village: 37.8569392,-107.832564; Ophir (Utah) - hamlet: 40.36784,-112.26023566059109; Ophir (California) - hamlet: 38.8910099,-121.1235582; Ophir (Alaska) - hamlet: 63.1447028,-156.520174; Ophir (Kentucky) - hamlet: 37.9073118,-83.0143346; Ophir (North Carolina) - hamlet: 35.4779167,-79.9789351; Ophir (Washington) - hamlet: 48.2090374,-119.7178377; Ophir (Arkansas) - hamlet: 34.4403757,-93.6113013; Ophir (Georgia) - hamlet: 34.3295381,-84.2649204; Ophir (Alabama) - hamlet: 34.3600906,-85.9455286; Ophir (Utah) - hamlet: 40.3695683,-112.2553198",Alabama; Alaska; Arkansas; California; Colorado; Georgia; Kentucky; North Carolina; Utah; Washington,hamlet; village,100
"Paran (Desert of Paran, Wilderness of Paran)",Paran,Most Likely,https://www.biblegateway.com/passage/?search=Num.10.12&amp;version=ESV; https://www.biblegateway.com/passage/?search=Num.12.16&amp;version=ESV; https://www.biblegateway.com/passage/?search=Num.13.3&amp;version=ESV; https://www.biblegateway.com/passage/?search=Num.13.26&amp;version=ESV,"Numbers 10:12, Numbers 12:16, Numbers 13:3, Numbers 13:26","34.776667,30.303218","Paran (Alabama) - hamlet: 33.2070639,-85.2555009",Alabama,hamlet,100
Patmos,Patmos,Most Likely,https://www.biblegateway.com/passage/?search=Rev.1.9&amp;version=ESV,Rev:1:9,"26.562518,37.303414 26.566013,37.300561 26.574083,37.302365 26.568647,37.309998 26.562575,37.313733 26.558243,37.312086 26.556221,37.317657 26.551766,37.317931 26.542689,37.32488 26.545127,37.330026 26.552175,37.322973 26.555298,37.326561 26.559214,37.32495 26.561787,37.326875 26.554703,37.330617 26.556403,37.332605 26.560564,37.331083 26.560895,37.337514 26.555695,37.341439 26.568826,37.343412 26.565238,37.350005 26.568282,37.351077 26.571165,37.348357 26.57426,37.350024 26.577772,37.346765 26.5895,37.346065 26.598985,37.342129 26.601947,37.33477 26.605294,37.338244 26.61201,37.336144 26.614297,37.340355 26.599372,37.347179 26.599528,37.356744 26.594665,37.361678 26.596047,37.364343 26.575116,37.367342 26.577512,37.376844 26.566411,37.380703 26.568072,37.375605 26.559565,37.374552 26.561855,37.369655 26.557142,37.370862 26.557804,37.368123 26.550763,37.366188 26.544434,37.367403 26.544743,37.373637 26.532876,37.378178 26.532495,37.362687 26.540614,37.355786 26.534067,37.355052 26.534298,37.347222 26.537482,37.343797 26.537864,37.337302 26.542198,37.338803 26.545189,37.335318 26.541757,37.332342 26.535595,37.333087 26.535513,37.330521 26.532914,37.331706 26.530948,37.328481 26.538216,37.320828 26.531479,37.319625 26.533028,37.317102 26.529201,37.31493 26.533426,37.308358 26.530081,37.304511 26.531001,37.295421 26.525532,37.294486 26.527374,37.287951 26.535098,37.287146 26.542585,37.294052 26.549261,37.290493 26.554379,37.291189 26.556246,37.286909 26.547863,37.283593 26.544412,37.284505 26.543087,37.280858 26.545287,37.278693 26.541477,37.275923 26.553287,37.273667 26.558209,37.268901 26.564407,37.271274 26.572889,37.269442 26.572315,37.282225 26.560106,37.288516 26.560029,37.293926 26.562957,37.296959 26.560183,37.297418 26.560427,37.301903 26.562518,37.303414","Patmos (Arkansas) - hamlet: 33.5113082,-93.5666168; Patmos (Ohio) - hamlet: 40.9736696,-80.9059199; Patmos (Georgia) - hamlet: 31.376011,-84.5649143; Patmos (Mississippi) - hamlet: 32.8131865,-90.7284306",Arkansas; Georgia; Mississippi; Ohio,hamlet,100
